"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.955053250E0,1.603332844E-1,-4.906264168E-1,8.215653741E-1,9.702529088E-1
1.965100250E0,1.595097041E-1,-4.005366111E-1,7.199729258E-1,8.391864729E-1
1.975147250E0,1.340304619E-1,-3.185159630E-1,6.142190140E-1,7.047563981E-1
1.985194250E0,1.215887564E-1,-2.708482915E-1,5.453218567E-1,6.209014013E-1
1.995241250E0,9.147237986E-2,-2.913889754E-1,5.047819412E-1,5.899826602E-1
2.005288250E0,4.750380322E-2,-3.160285574E-1,5.219876656E-1,6.120472069E-1
2.015335250E0,2.230478883E-2,-3.025805461E-1,5.845286071E-1,6.585789118E-1
2.025382250E0,1.272178710E-2,-2.971753800E-1,6.707376158E-1,7.337329212E-1
2.035429250E0,1.954227179E-2,-2.447410583E-1,7.964685398E-1,8.334519908E-1
2.045476250E0,1.702899233E-2,-2.083561742E-1,9.052650502E-1,9.290893892E-1
2.055523250E0,2.849055827E-3,-1.842346555E-1,9.578171933E-1,9.753790551E-1
2.065570250E0,4.561997652E-3,-1.957261884E-1,9.894956535E-1,1.008677947E0
2.075617250E0,1.752966017E-2,-2.018318510E-1,1.037817628E0,1.057406646E0
2.085664250E0,5.473870933E-2,-2.206236327E-1,1.093326416E0,1.116706660E0
2.095711250E0,6.913718551E-2,-2.649595606E-1,1.154687682E0,1.186712754E0
2.105758250E0,6.103140973E-2,-2.790203601E-1,1.126479252E0,1.162124218E0
2.115805250E0,2.539884299E-2,-3.038108003E-1,9.071393752E-1,9.569994512E-1
2.125852250E0,-1.737207770E-2,-3.696609735E-1,6.532140952E-1,7.507594013E-1
2.135899250E0,-4.125159480E-2,-3.977042198E-1,6.533576444E-1,7.659938329E-1
2.145946250E0,-3.137155451E-2,-4.268005496E-1,8.998984757E-1,9.964738582E-1
2.155993250E0,9.792551324E-3,-4.349989307E-1,1.205396782E0,1.281523065E0
2.166040250E0,-4.069662094E-3,-3.401734650E-1,1.467352336E0,1.506272693E0
2.176087250E0,-7.086620718E-2,-2.565664673E-1,1.634137146E0,1.655672849E0
2.186134250E0,-1.712671392E-1,-3.110379589E-1,1.692094455E0,1.728947856E0
2.196181250E0,-2.379160421E-1,-4.171345174E-1,1.648780036E0,1.717288809E0
2.206228250E0,-1.873686169E-1,-4.947200525E-1,1.550204166E0,1.637982871E0
2.216275250E0,-9.196676195E-2,-4.332050049E-1,1.390818715E0,1.459623636E0
2.226322250E0,8.206567168E-4,-2.187203640E-1,1.283976052E0,1.302472177E0
2.236369250E0,1.383555742E-1,1.792347014E-2,1.283877672E0,1.291435400E0
2.246416250E0,2.064056893E-1,2.458555377E-1,1.245653108E0,1.286351398E0
2.256463250E0,1.654057440E-1,3.765174186E-1,1.128497418E0,1.201095687E0
2.266510250E0,9.240025990E-2,3.801409382E-1,9.860737167E-1,1.060842267E0
2.276557250E0,4.394204490E-2,2.923297924E-1,8.408528535E-1,8.913030529E-1
2.286604250E0,9.221176028E-2,1.878382945E-1,6.833892363E-1,7.147076899E-1
2.296651250E0,1.789660218E-1,1.719531637E-1,5.572454989E-1,6.100157978E-1
2.306698250E0,2.395273885E-1,1.808081871E-1,4.942247933E-1,5.782068114E-1
2.316745250E0,3.665081549E-1,2.728065240E-1,4.590736717E-1,6.476883998E-1
2.326792250E0,4.434312004E-1,4.654933298E-1,3.781020141E-1,7.458393946E-1
2.336839250E0,5.041350199E-1,6.252047628E-1,2.344227692E-1,8.366523462E-1
2.346886250E0,5.529165128E-1,6.528264248E-1,9.677726626E-2,8.609673921E-1
2.356933250E0,5.731814639E-1,5.648018557E-1,-1.661487789E-1,8.216711894E-1
2.366980250E0,6.113951012E-1,4.593157464E-1,-2.866778737E-1,8.166756566E-1
2.377027250E0,5.588523868E-1,4.016335487E-1,-2.740961275E-1,7.407794441E-1
2.387074250E0,4.993437383E-1,5.463778639E-1,-4.559179294E-1,8.693296828E-1
2.397121250E0,3.785684026E-1,5.233111829E-1,-6.428344104E-1,9.112654436E-1
2.407168250E0,2.801386401E-1,3.977077281E-1,-9.980624092E-1,1.110305214E0
2.417215250E0,1.874588102E-1,2.400743955E-1,-1.421394390E0,1.453663831E0
2.427262250E0,1.594778368E-1,5.691855133E-2,-1.749003358E0,1.757181166E0
2.437309250E0,2.255268154E-1,-3.923891008E-2,-1.921617842E0,1.935204684E0
2.447356250E0,3.129002970E-1,-7.015723228E-2,-1.900302987E0,1.927168928E0
2.457403250E0,3.614874066E-1,-1.059427768E-1,-1.752202516E0,1.792236222E0
2.467450250E0,3.841082740E-1,-8.423674285E-2,-1.586377673E0,1.634389524E0
2.477497250E0,4.341791876E-1,-1.164244956E-1,-1.489548074E0,1.555898357E0
2.487544250E0,4.320127211E-1,-2.437353373E-1,-1.405576064E0,1.490532112E0
2.497591250E0,4.346214929E-1,-3.259875351E-1,-1.389007248E0,1.491477405E0
2.507638250E0,4.260047436E-1,-3.925066298E-1,-1.431519429E0,1.544276326E0
2.517685250E0,4.458928782E-1,-5.530355036E-1,-1.327378179E0,1.505523682E0
2.527732250E0,4.556700075E-1,-5.594136465E-1,-1.318112097E0,1.502663729E0
2.537779250E0,4.659602299E-1,-4.069831663E-1,-1.373398106E0,1.506312248E0
2.547826250E0,4.362698230E-1,-2.446106654E-1,-1.400297783E0,1.486943044E0
2.557873250E0,3.157970077E-1,-2.232694978E-1,-1.376795923E0,1.430085323E0
2.567920250E0,2.008833961E-1,-2.106693327E-1,-1.357132029E0,1.387999658E0
2.577967250E0,1.998075267E-1,-2.333594531E-1,-1.404935209E0,1.438131644E0
2.588014250E0,2.142232339E-1,-2.509192264E-1,-1.491022157E0,1.527088447E0
2.598061250E0,1.654650750E-1,-2.129830760E-1,-1.589554027E0,1.612272460E0
2.608108250E0,9.681174656E-2,-2.341605216E-1,-1.607649990E0,1.627495669E0
2.618156250E0,3.118670940E-2,-3.084499812E-1,-1.586563030E0,1.616569284E0
2.628202250E0,-2.381307811E-2,-3.566596895E-1,-1.522141916E0,1.563550194E0
2.638250250E0,-2.827101359E-2,-2.790893573E-1,-1.415902393E0,1.443422913E0
2.648297250E0,6.219966514E-3,-9.434716344E-2,-1.222293335E0,1.225944971E0
2.658344250E0,3.986222327E-2,8.408413053E-2,-9.480657917E-1,9.526215845E-1
2.668391542E0,6.029443215E-2,2.590731686E-1,-6.758244011E-1,7.262870964E-1
2.678438542E0,2.333155990E-2,4.172222257E-1,-4.734309250E-1,6.314709716E-1
2.688485542E0,-1.461365372E-2,5.292770970E-1,-3.768682516E-1,6.499057496E-1
2.698532542E0,-4.876256257E-2,5.699322027E-1,-3.721653360E-1,6.824276815E-1
2.708579542E0,-6.506723106E-2,5.201297128E-1,-4.657769197E-1,7.012252147E-1
2.718626542E0,-3.231843799E-2,3.727401173E-1,-5.880819601E-1,6.970079399E-1
2.728673542E0,4.574774275E-2,1.757023984E-1,-6.948581113E-1,7.181865939E-1
2.738720542E0,1.287705991E-1,1.171869725E-1,-8.287135953E-1,8.468062805E-1
2.748767542E0,2.094504806E-1,1.881113595E-1,-9.286561055E-1,9.703904110E-1
2.758814542E0,2.212577632E-1,2.675095314E-1,-9.676880242E-1,1.028074151E0
2.768861542E0,1.881616455E-1,3.275382167E-1,-9.173347266E-1,9.920630468E-1
2.778908542E0,1.016360101E-1,2.685801566E-1,-8.169092363E-1,8.659133210E-1
2.788955542E0,2.578183562E-2,9.999089599E-2,-7.649736822E-1,7.719116638E-1
2.799002542E0,-1.483000070E-2,-2.833034456E-2,-7.523284936E-1,7.530077686E-1
2.809049542E0,-8.040155411E-2,-9.030264437E-2,-8.049224442E-1,8.139527742E-1
2.819096542E0,-1.771589398E-1,-1.555137169E-1,-8.108790028E-1,8.444492663E-1
2.829143542E0,-2.177158123E-1,-1.815045905E-1,-7.826410443E-1,8.323887887E-1
2.839190542E0,-1.917521283E-1,-1.194387352E-1,-6.935645610E-1,7.294287426E-1
2.849237542E0,-1.684179372E-1,6.918191671E-2,-4.598127598E-1,4.945487976E-1
2.859284542E0,-1.490733013E-1,1.271401030E-1,-1.450618190E-1,2.437834823E-1
2.869331542E0,-1.416812330E-1,1.696446830E-1,6.540666193E-2,2.305014570E-1
2.879378542E0,-1.261182838E-1,2.487411386E-1,2.660141060E-1,3.854107940E-1
2.889425542E0,-1.069625129E-1,3.158888090E-1,5.037285653E-1,6.041267965E-1
2.899472542E0,-7.306123367E-2,3.799169898E-1,7.263244638E-1,8.229350459E-1
2.909519542E0,-5.834669720E-2,4.095354760E-1,8.512835553E-1,9.464709899E-1
2.919566542E0,-5.240420848E-2,3.483303308E-1,8.605335581E-1,9.298377413E-1
2.929613542E0,-4.086502075E-2,2.935875285E-1,7.573535907E-1,8.132945642E-1
2.939660542E0,-1.168014217E-2,2.567132324E-1,5.408104375E-1,5.987604185E-1
2.949707542E0,1.865144849E-2,2.068698120E-1,3.619350475E-1,4.173008199E-1
2.959754542E0,5.033308815E-2,1.453489172E-1,2.800795832E-1,3.195376354E-1
2.969802542E0,3.211904794E-2,7.261949480E-2,3.515977550E-1,3.604527785E-1
2.979849542E0,-2.439516842E-2,9.715148807E-3,4.903966212E-1,4.910991290E-1
2.989896542E0,-8.370523095E-2,6.283242524E-2,4.731145906E-1,4.845532945E-1
2.999943542E0,-1.585308802E-1,1.188972831E-1,3.549563956E-1,4.065250874E-1
3.009990542E0,-1.379258770E-1,4.712504983E-2,2.827929837E-1,3.181449190E-1
3.020037542E0,-6.923775762E-2,-2.180543661E-2,3.293672258E-1,3.372715724E-1
3.030084542E0,1.072467059E-2,-1.074694848E-1,4.297604102E-1,4.431238189E-1
3.040131542E0,2.642678350E-2,-1.481450558E-1,5.411340809E-1,5.616684306E-1
3.050178542E0,5.693463117E-2,-1.375089705E-1,6.111001092E-1,6.289623301E-1
